"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.date","sale.price.n","gross.sqft","land.sqft","years.built","cs.pricePERsqft"
"127",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6456,4,NA," A1 "," 34 LYNCH STREET ","   "," 10312 ",1,0,1,1," A1 ",42705,680000,2350,3800,1980,289.36170212766
"130",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6459,12,NA," A1 "," 296 POILLON AVENUE ","   "," 10312 ",1,0,1,1," A1 ",42550,645000,2744,4000,1987,235.058309037901
"132",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6475,115,NA," A7 "," 77 NICOLOSI LOOP ","   "," 10312 ",1,0,1,1," A7 ",42408,1500000,7000,14660,1988,214.285714285714
"133",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6475,150,NA," A3 "," 151 NICOLOSI DRIVE ","   "," 10312 ",1,0,1,1," A3 ",42606,2000000,8380,21065,1997,238.663484486874
"135",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6517,39,NA," A9 "," 30 ARBUTUS WAY ","   "," 10312 ",1,0,1,1," A9 ",42739,1150000,3600,13150,1985,319.444444444444
"136",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6517,60,NA," A1 "," 201 ARBUTUS AVENUE ","   "," 10312 ",1,0,1,1," A1 ",42471,450000,3834,10195,1990,117.370892018779
"138",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",5406,1,NA," B2 "," 381 HAROLD AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42440,996866,3803,5032,2015,262.126216145149
"139",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",5406,2,NA," B2 "," 385 HAROLD AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42466,1002976,3803,5132,2015,263.732842492769
"140",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",5425,48,NA," B2 "," 39 SANDGAP STREET ","   "," 10312 ",2,0,2,1," B2 ",42647,920000,3945,2500,2015,233.206590621039
"142",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6209,5,NA," B2 "," 182 SNEDEN AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42682,573000,1592,2600,2005,359.924623115578
"145",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6215,38,NA," B2 "," 128 FABIAN STREET ","   "," 10312 ",2,0,2,1," B2 ",42454,485000,2591,5000,2014,187.186414511772
"147",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6221,18,NA," B3 "," 1020 ARDEN AVENUE ","   "," 10312 ",2,0,2,1," B3 ",42545,824782,2528,5670,1955,326.258702531646
"148",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6222,14,NA," B2 "," 16 JEANNETTE AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42510,804146,2392,4000,2015,336.18143812709
"149",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6222,15,NA," B2 "," 20 JEANNETTE AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42513,793216,2600,4000,2015,305.083076923077
"150",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6222,16,NA," B2 "," 24 JEANNETTE AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42629,803399,2392,4000,2015,335.869147157191
"151",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6222,26,NA," B9 "," 38 JEANNETTE AVENUE ","   "," 10312 ",2,0,2,1," B9 ",42748,590000,1600,2825,2004,368.75
"153",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6222,29,NA," B9 "," 46 JEANNETTE AVENUE ","   "," 10312 ",2,0,2,1," B9 ",42734,625000,1600,2825,2004,390.625
"154",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6222,49,NA," B2 "," 25 LORRAINE AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42418,794233,2550,4000,2015,311.463921568627
"159",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6237,15,NA," B2 "," 197 STAFFORD AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42627,1120075,3834,7000,2014,292.142670839854
